#Period                           :500.223450
#Sampling Interval                :0.234000
#Total no. of lines is 3(including this line) and the numeric values at each line start from the 36th character
0.261236 0.475086
0.261704 0.474862
0.262172 0.475546
0.262640 0.474969
0.263109 0.475204
0.263577 0.475086
0.264045 0.475546
0.264513 0.475534
0.264981 0.475204
0.265449 0.475428
0.265918 0.475428
0.266386 0.474969
0.266854 0.474862
0.267322 0.475888
0.267790 0.475087
0.268258 0.474862
0.268727 0.475652
0.269195 0.475546
0.269663 0.475087
0.270131 0.475428
0.270599 0.475652
0.271067 0.474745
0.271536 0.475888
0.272004 0.475087
0.272472 0.475770
0.272940 0.475428
0.273408 0.475204
0.273876 0.475888
0.274345 0.474969
0.274813 0.475546
0.275281 0.475087
0.275749 0.475546
0.276217 0.475193
0.276685 0.475546
0.277154 0.475429
0.277622 0.475087
0.278090 0.474969
0.278558 0.474863
0.279026 0.475546
0.279494 0.475429
0.279963 0.475429
0.280431 0.475087
0.280899 0.475888
0.281367 0.475087
0.281835 0.474970
0.282303 0.475770
0.282772 0.475087
0.283240 0.475205
0.283708 0.475194
0.284176 0.475546
0.284644 0.474745
0.285112 0.475547
0.285581 0.475311
0.286049 0.475205
0.286517 0.475547
0.286985 0.475087
0.287453 0.475653
0.287921 0.475429
0.288390 0.475547
0.288858 0.475429
0.289326 0.475311
0.289794 0.475087
0.290262 0.475205
0.290730 0.475888
0.291198 0.475311
0.291667 0.475547
0.292135 0.475429
0.292603 0.475547
0.293071 0.475194
0.293539 0.475547
0.294007 0.475429
0.294476 0.475087
0.294944 0.475311
0.295412 0.475087
0.295880 0.475889
0.296348 0.475087
0.296816 0.475429
0.297285 0.475429
0.297753 0.475547
0.298221 0.475547
0.298689 0.475653
0.299157 0.475429
0.299625 0.475088
0.300094 0.475889
0.300562 0.474853
0.301030 0.475205
0.301498 0.474746
0.301966 0.475205
0.302434 0.475312
0.302903 0.475205
0.303371 0.475547
0.303839 0.475429
0.304307 0.475547
0.304775 0.475312
0.305243 0.475205
0.305712 0.475429
0.306180 0.475088
0.306648 0.474970
0.307116 0.475430
0.307584 0.475547
0.308052 0.474746
0.308521 0.475771
0.308989 0.475088
0.309457 0.475547
0.309925 0.475547
0.310393 0.475312
0.310861 0.475430
0.311330 0.475088
0.311798 0.475547
0.312266 0.475195
0.312734 0.475547
0.313202 0.475088
0.313670 0.475771
0.314139 0.475312
0.314607 0.475547
0.315075 0.475889
0.315543 0.475088
0.316011 0.475771
0.316479 0.475088
0.316948 0.475548
0.317416 0.475430
0.317884 0.474971
0.318352 0.475088
0.318820 0.475430
0.319288 0.475548
0.319757 0.475312
0.320225 0.475889
0.320693 0.475430
0.321161 0.475548
0.321629 0.475312
0.322097 0.475890
0.322566 0.475088
0.323034 0.475088
0.323502 0.475312
0.323970 0.475088
0.324438 0.475890
0.324906 0.475088
0.325375 0.475654
0.325843 0.475430
0.326311 0.475206
0.326779 0.475548
0.327247 0.475654
0.327715 0.474864
0.328184 0.475089
0.328652 0.475890
0.329120 0.474854
0.329588 0.475548
0.330056 0.475089
0.330524 0.475430
0.330993 0.475313
0.331461 0.475206
0.331929 0.475548
0.332397 0.475430
0.332865 0.475430
0.333333 0.475089
0.333802 0.475548
0.334270 0.474865
0.334738 0.475313
0.335206 0.474747
0.335674 0.475430
0.336142 0.475548
0.336610 0.475195
0.337079 0.475890
0.337547 0.475089
0.338015 0.475548
0.338483 0.475313
0.338951 0.475548
0.339419 0.475548
0.339888 0.475089
0.340356 0.475548
0.340824 0.475195
0.341292 0.475207
0.341760 0.475089
0.342228 0.475772
0.342697 0.474972
0.343165 0.475207
0.343633 0.475890
0.344101 0.475431
0.344569 0.475431
0.345037 0.475431
0.345506 0.475890
0.345974 0.475207
0.346442 0.475313
0.346910 0.475089
0.347378 0.475772
0.347846 0.475549
0.348315 0.475196
0.348783 0.475890
0.349251 0.475089
0.349719 0.475549
0.350187 0.474972
0.350655 0.475890
0.351124 0.475207
0.351592 0.475089
0.352060 0.475655
0.352528 0.475089
0.352996 0.475549
0.353464 0.474748
0.353933 0.475655
0.354401 0.475431
0.354869 0.475089
0.355337 0.475549
0.355805 0.475655
0.356273 0.474865
0.356742 0.475089
0.357210 0.475549
0.357678 0.474631
0.358146 0.475207
0.358614 0.475090
0.359082 0.475431
0.359551 0.474972
0.360019 0.475431
0.360487 0.475891
0.360955 0.475090
0.361423 0.475431
0.361891 0.475090
0.362360 0.475891
0.362828 0.475207
0.363296 0.475314
0.363764 0.475549
0.364232 0.475431
0.364700 0.475549
0.365169 0.474855
0.365637 0.475891
0.366105 0.475090
0.366573 0.475090
0.367041 0.475655
0.367509 0.475549
0.367978 0.475207
0.368446 0.474748
0.368914 0.475773
0.369382 0.475432
0.369850 0.475549
0.370318 0.475432
0.370787 0.475997
0.371255 0.474748
0.371723 0.475773
0.372191 0.475891
0.372659 0.474973
0.373127 0.475208
0.373596 0.475432
0.374064 0.475549
0.374532 0.474973
0.375000 0.475549
0.375468 0.475208
0.375936 0.475773
0.376404 0.475549
0.376873 0.475197
0.377341 0.475891
0.377809 0.475090
0.378277 0.475432
0.378745 0.474973
0.379213 0.475550
0.379682 0.475208
0.380150 0.474749
0.380618 0.475774
0.381086 0.475432
0.381554 0.475208
0.382022 0.475432
0.382491 0.475656
0.382959 0.474749
0.383427 0.475774
0.383895 0.475550
0.384363 0.475197
0.384831 0.474866
0.385300 0.475432
0.385768 0.475892
0.386236 0.474973
0.386704 0.475892
0.387172 0.475550
0.387640 0.475091
0.388109 0.475314
0.388577 0.475432
0.389045 0.475550
0.389513 0.475091
0.389981 0.475315
0.390449 0.475091
0.390918 0.475550
0.391386 0.474866
0.391854 0.475315
0.392322 0.475892
0.392790 0.475432
0.393258 0.475550
0.393727 0.475538
0.394195 0.475550
0.394663 0.475091
0.395131 0.475432
0.395599 0.475315
0.396067 0.475432
0.396536 0.475208
0.397004 0.475432
0.397472 0.475432
0.397940 0.475432
0.398408 0.475550
0.398876 0.475208
0.399345 0.475656
0.399813 0.474749
0.400281 0.475774
0.400749 0.475550
0.401217 0.475197
0.401685 0.475550
0.402154 0.475433
0.402622 0.475550
0.403090 0.475315
0.403558 0.475550
0.404026 0.475550
0.404494 0.475433
0.404963 0.475433
0.405431 0.475433
0.405899 0.475550
0.406367 0.474749
0.406835 0.475315
0.407303 0.475091
0.407772 0.475433
0.408240 0.475209
0.408708 0.475657
0.409176 0.475209
0.409644 0.475433
0.410112 0.475551
0.410581 0.475551
0.411049 0.475657
0.411517 0.475091
0.411985 0.475774
0.412453 0.475209
0.412921 0.475198
0.413390 0.475209
0.413858 0.475091
0.414326 0.475551
0.414794 0.474974
0.415262 0.475551
0.415730 0.475551
0.416198 0.475433
0.416667 0.475775
0.417135 0.475433
0.417603 0.475209
0.418071 0.475091
0.418539 0.475315
0.419007 0.475433
0.419476 0.475433
0.419944 0.475209
0.420412 0.475998
0.420880 0.475209
0.421348 0.475433
0.421816 0.475551
0.422285 0.475657
0.422753 0.475551
0.423221 0.475092
0.423689 0.475775
0.424157 0.474974
0.424625 0.475433
0.425094 0.475209
0.425562 0.475433
0.426030 0.475657
0.426498 0.475433
0.426966 0.475551
0.427434 0.475551
0.427903 0.475657
0.428371 0.475209
0.428839 0.475775
0.429307 0.475209
0.429775 0.474857
0.430243 0.475551
0.430712 0.475433
0.431180 0.475092
0.431648 0.475657
0.432116 0.475551
0.432584 0.474868
0.433052 0.475433
0.433521 0.475433
0.433989 0.475433
0.434457 0.475209
0.434925 0.475209
0.435393 0.475657
0.435861 0.475092
0.436330 0.475433
0.436798 0.475209
0.437266 0.475540
0.437734 0.475209
0.438202 0.475433
0.438670 0.475893
0.439139 0.475316
0.439607 0.475551
0.440075 0.475210
0.440543 0.475434
0.441011 0.474974
0.441479 0.475434
0.441948 0.475210
0.442416 0.475775
0.442884 0.475316
0.443352 0.475434
0.443820 0.475893
0.444288 0.475210
0.444757 0.475316
0.445225 0.475551
0.445693 0.475434
0.446161 0.474868
0.446629 0.475551
0.447097 0.475316
0.447566 0.474750
0.448034 0.475434
0.448502 0.475210
0.448970 0.475540
0.449438 0.475210
0.449906 0.475434
0.450375 0.475893
0.450843 0.474975
0.451311 0.475210
0.451779 0.475210
0.452247 0.475434
0.452715 0.474975
0.453184 0.475434
0.453652 0.475210
0.454120 0.475434
0.454588 0.475316
0.455056 0.475776
0.455524 0.475434
0.455993 0.474868
0.456461 0.475316
0.456929 0.475210
0.457397 0.475434
0.457865 0.475210
0.458333 0.475316
0.458802 0.475552
0.459270 0.475434
0.459738 0.475092
0.460206 0.475658
0.460674 0.475434
0.461142 0.474868
0.461610 0.475776
0.462079 0.475434
0.462547 0.475434
0.463015 0.475210
0.463483 0.475210
0.463951 0.475658
0.464419 0.475093
0.464888 0.475434
0.465356 0.475552
0.465824 0.475540
0.466292 0.475210
0.466760 0.475434
0.467228 0.475776
0.467697 0.475317
0.468165 0.474185
0.468633 0.473843
0.469101 0.473043
0.469569 0.471676
0.470037 0.471676
0.470506 0.470425
0.470974 0.469627
0.471442 0.468828
0.471910 0.468260
0.472378 0.467235
0.472846 0.466324
0.473315 0.465755
0.473783 0.464615
0.474251 0.464161
0.474719 0.462906
0.475187 0.462682
0.475655 0.461539
0.476124 0.460514
0.476592 0.460403
0.477060 0.459267
0.477528 0.458353
0.477996 0.457438
0.478464 0.456987
0.478933 0.456194
0.479401 0.455278
0.479869 0.454362
0.480337 0.453679
0.480805 0.452779
0.481273 0.451970
0.481742 0.451179
0.482210 0.450603
0.482678 0.449812
0.483146 0.448681
0.483614 0.448446
0.484082 0.447421
0.484551 0.446160
0.485019 0.445844
0.485487 0.444793
0.485955 0.444005
0.486423 0.443084
0.486891 0.442535
0.487360 0.441717
0.487828 0.440691
0.488296 0.440247
0.488764 0.439461
0.489232 0.438539
0.489700 0.437274
0.490169 0.437172
0.490637 0.435705
0.491105 0.435464
0.491573 0.434539
0.492041 0.433513
0.492509 0.432972
0.492978 0.431804
0.493446 0.431363
0.493914 0.430436
0.494382 0.430141
0.494850 0.428727
0.495318 0.428287
0.495787 0.427604
0.496255 0.426482
0.496723 0.425212
0.497191 0.424966
0.497659 0.424186
0.498127 0.422820
0.498596 0.422820
0.499064 0.421547
0.499532 0.420522
0.500000 0.420333
0.500468 0.419402
0.500936 0.418377
0.501405 0.417445
0.501873 0.416825
0.502341 0.416077
0.502809 0.415302
0.503277 0.414368
0.503745 0.413843
0.504214 0.412659
0.504682 0.411633
0.505150 0.411543
0.505618 0.410176
0.506086 0.409492
0.506554 0.408898
0.507023 0.408125
0.507491 0.407012
0.507959 0.406417
0.508427 0.405391
0.508895 0.404795
0.509363 0.403937
0.509831 0.403086
0.510300 0.402658
0.510768 0.401719
0.511236 0.400863
0.511704 0.400009
0.512172 0.399582
0.512640 0.398215
0.513109 0.397447
0.513577 0.396848
0.514045 0.395907
0.514513 0.395481
0.514981 0.394456
0.515449 0.393773
0.515918 0.392830
0.516386 0.391804
0.516854 0.391299
0.517322 0.390437
0.517790 0.389672
0.518258 0.389069
0.518727 0.388305
0.519195 0.386858
0.519663 0.386596
0.520131 0.385571
0.520599 0.384625
0.521067 0.384126
0.521536 0.383257
0.522004 0.382496
0.522472 0.381548
0.522940 0.380710
0.523408 0.379839
0.523876 0.379420
0.524345 0.378053
0.524813 0.377635
0.525281 0.376686
0.525749 0.376078
0.526217 0.375319
0.526685 0.374220
0.527154 0.373952
0.527622 0.372659
0.528090 0.371634
0.528558 0.371487
0.529026 0.370266
0.529494 0.369510
0.529963 0.368899
0.530431 0.367999
0.530899 0.366847
0.531367 0.366434
0.531835 0.365409
0.532303 0.364997
0.532772 0.363770
0.533240 0.363087
0.533708 0.362675
0.534176 0.361308
0.534644 0.360625
0.535112 0.360010
0.535581 0.358984
0.536049 0.358165
0.536517 0.357891
0.536985 0.356524
0.537453 0.355907
0.537921 0.355025
0.538390 0.354198
0.538858 0.353790
0.539326 0.352830
0.539794 0.352017
0.540262 0.351121
0.540730 0.350437
0.541198 0.349348
0.541667 0.348942
0.542135 0.347981
0.542603 0.347019
0.543071 0.346272
0.543539 0.345527
0.544007 0.344905
0.544476 0.343600
0.544944 0.343258
0.545412 0.342452
0.545880 0.341549
0.546348 0.340463
0.546816 0.339839
0.547285 0.339037
0.547753 0.338130
0.548221 0.337729
0.548689 0.336704
0.549157 0.335962
0.549625 0.334995
0.550094 0.334369
0.550562 0.333628
0.551030 0.332603
0.551498 0.332261
0.551966 0.330950
0.552434 0.330267
0.552903 0.329131
0.553371 0.328844
0.553839 0.327819
0.554307 0.327190
0.554775 0.326452
0.555243 0.325373
0.555712 0.325085
0.556180 0.323718
0.556648 0.323087
0.557116 0.322641
0.557584 0.321378
0.558052 0.320301
0.558521 0.320010
0.558989 0.318883
0.559457 0.318301
0.559925 0.317909
0.560393 0.316542
0.560861 0.316150
0.561330 0.314833
0.561798 0.314198
0.562266 0.313808
0.562734 0.312441
0.563202 0.311758
0.563670 0.311122
0.564139 0.310096
0.564607 0.309319
0.565075 0.309024
0.565543 0.307657
